"track_id";"echonest";"lastfm";"spotify";"sevendigital";"vevo";"apple"
"208";;"a061c864-842b-4253-8d61-d00787a80801";"6rXcizzkBRUeExD57bALen";;"USSM21401128";"909767583"
"209";;;"4qZxg7hB6drGJ3Z9uU6M8d";;;
"210";;"6bb57d20-92f3-4bf3-9297-eacb2013e852";"4th1RQAelzqgY7wL53UGQt";;;"943278974"
"211";;;"1l3JsYIACtqHi4LDiB7c4l";;;
"212";;;"2XPxacir3WoMtJ2pbTd240";;;
"213";"SOSWHHQ1473CBD865A";"fb27af5c-d774-4344-8425-250e74d025b0";"3ndumr5hw721OmT5opZ5Zl";"38243050";;"898966441"
"214";"SOEDLHM142F0C488D1";"95308d97-687a-45aa-a884-45530f893b11";"1K16NXT4NY7xts0ojDUD9I";;"USAV61400001";"917687854"
"215";"SOARSSQ14A1470ABCE";"06a8cf10-7709-4845-bc67-449a073abeeb";"519uJbE3zyKLlToVA65PrP";"33157395";"USUV71301101";"854739113"
"216";;;"3RfKoVKnHNJEEKNZdWTTMz";;;
"217";"SOEBNIF1460CD93DB9";"4eea5121-7736-47b1-bae3-4d70014c8810";"6dXK0YFIOZoFSgalrLpJzY";"39966870";"USUV71400930";"911439229"
"218";"SOEWPOP1488DB730D9";"09de69b3-3c71-4fce-bafc-0fe16d7c2165";"5Cn31qWn2fA01TkG0sr3BO";"40108502";;"916250320"
"219";;;"7L0RQZao9Pks74PzRvaxzC";;;
"220";;;"0hPuF2Z5fZjnuwYPvIdPC1";;"USH5V1321730";
"221";;"a842a84b-b5da-4a19-9291-17931d71b23c";"5DTo64LZ1SmwbvMZfGF9lg";;;"923167969"
"222";;;"2ppKIytnAyI8GRiRv8VpP6";;"USUYG1050696";
"223";;;"3f3eGePL5Ec3wh8D6Oc6eh";;;
"224";"SOMYGCB1488DACF2E3";"fb65cb72-b723-4cd6-bc79-9429f4e64ece";"2P1v40Pjc057cPkrULRvoU";;;"913336238"
"225";"SOFDQLD14433E5DA44";"cbbfb6ca-226b-41a6-9e34-2dfa18b24d14";"1soxUgYIZb1qx1c7o1Lc7z";"35008822";"USUV71400181";"799079983"
"226";;"9477a588-08eb-4eb7-9820-303130ccf1a9";"40DOlZURKwuOV9PnJN7jQX";"40109164";;"916250304"
"227";;"92fa7705-cb87-4792-bff1-d7901fde3e4a";"2OpY5KKUvkYAkiY8FEG1Wi";;;"895604147"
"228";;;"3lmPir3OKcuqteoR6ue79H";;;
"229";;"7f35b163-3abf-4622-ab87-6170edeb9df2";"4NwJWJ7rIZBnv8TwNRhGG2";"37442463";;"887763877"
"230";;;"1vS1Rd10oLbmggo9GwOswt";;"USRV81400097";
"231";;;"2xOqNojFkIYrLy37witd51";;"USRV81400126";
"232";;;"4iiJ57RTsBw4hLZi3sCXBS";;"US58E1490417";
"233";;;"4B4zDmbHdkXZ1wUJv1yKFy";;;
"234";"SODGYHE14561E68570";"679edce6-8eb1-4582-8e66-d642e5527284";"5BJSZocnCeSNeYMj3iVqM7";"36963849";"USUV71400665";"854739155"
"235";"SORSHCA1486E4366ED";"b236fb8f-4f6b-482b-b393-7fef2f93cf29";"71V8IUxhq9Sc6MtVFKHXQ7";;;"913336248"
"236";;"e8937834-b528-44cb-b83c-edf63a9f6aaa";"5sbXP9BaCXvlZdu3Qmh0DO";;;"947648732"
"237";;;"7DcdGMGCcuaOIJkGYOGcrp";;"USUV71400354";"806253999"
"238";;;"40iqc94M52SdqnifRSqRWh";"39323551";"USRV81400509";"911158118"
"239";"SOXVWWF146FE7142C6";;"6hNn9cvSmyIuJllG6KDklV";"37712231";;"876759731"
"240";;"02ddfa55-491a-47af-9321-d3d1f6b12ed1";"7b71WsDLb8gG0cSyDTFAEW";"35294061";"GB1101400124";"922876189"
"241";"SOBETXB14823726278";"899db87e-3f6d-42a1-a739-9911123464e3";"1m0a9bBxT0E0WDJmk3Xw5q";;;"913336249"
"242";;"d66a9e3f-b978-4797-b20e-5f1ffa5578d0";"1iMq1SKpMAfEDl7yh9g70j";"23484160";"GBUV71300874";"834595348"
"243";;"6827d945-154e-4808-85de-98899ed68111";"0S5EEpFAHcT7cm5XOASc29";;"USSM21400697";"850697815"
"244";;;"6V1mHvFecMR8cySvAtI0s9";;;
"245";"SOSOGXS143E0CE3806";;"5q7ev6quflvxQ73PVlBxgG";"34580182";"USUV71401172";"734131754"
"246";"SOBUQMM14823728B64";"8c49d79e-4fd1-4087-a103-fede6ab04363";"6b19nfbtAg2YS9Oeqw1ngs";;"US58E1490457";"913336216"
"247";;"ed08e315-35d3-4a38-bad3-586dca5d58fd";"3CX3WMBg6lzWk72bYL29vP";;"USRV81400143";"872156757"
"248";;"01d49888-680a-481a-88a6-5ed098ab99c8";"67awxiNHNyjMXhVgsHuIrs";;;"786489670"
