"artist_id";"album_id"
"2036";"1179"
"2052";"1184"
"2053";"1185"
"2054";"1186"
"2058";"1188"
"2061";"1189"
"2075";"1196"
"2079";"1212"
"2081";"1199"
"2097";"1205"
"2099";"1206"
"2101";"1207"
"2102";"1470"
"2102";"1539"
"2102";"1540"
"2102";"1541"
"2102";"1542"
"2110";"1217"
"2118";"1221"
"2119";"1223"
"2120";"1225"
"2124";"1246"
"2125";"1226"
"2129";"1230"
"2130";"1232"
"2132";"1233"
"2134";"1236"
"2138";"1242"
"2141";"1240"
"2145";"1244"
"2152";"1247"
"2156";"1252"
"2160";"1254"
"2166";"1255"
"2176";"1260"
"2178";"1261"
"2185";"1267"
"2185";"1436"
"2185";"1441"
"2186";"1271"
"2187";"1391"
"2189";"1278"
